,0
0,0
1,0
2,0
3,0
4,1
5,1
6,0
7,1
8,1
9,1
10,0
11,1
12,0
13,0
14,0
15,1
16,0
17,0
18,1
19,0
20,1
21,0
22,1
23,0
24,1
25,1
26,0
27,0
28,0
29,0
30,1
31,1
32,1
33,1
34,0
35,0
36,1
37,0
38,0
39,1
40,0
41,1
42,1
43,1
44,0
45,0
46,0
47,0
48,0
49,1
50,0
51,1
52,1
53,0
54,0
55,0
56,1
57,0
58,0
59,1
60,1
61,0
62,0
63,0
64,0
65,1
66,0
67,1
68,0
69,1
70,1
71,0
72,0
73,0
74,0
75,1
76,1
77,0
78,0
79,0
80,1
81,0
82,0
83,0
84,0
85,1
86,1
87,0
88,0
89,0
90,0
91,0
92,0
93,1
94,1
95,0
96,1
97,0
98,1
99,0
100,0
101,0
102,0
103,1
104,1
105,0
106,1
107,1
108,0
109,1
110,0
111,1
112,0
113,1
114,1
115,0
116,1
117,0
118,0
119,0
120,0
121,0
122,0
123,0
124,0
125,1
126,0
127,1
128,1
129,1
130,1
131,0
132,0
133,1
134,1
135,0
136,0
137,1
138,1
139,0
140,0
141,0
142,0
143,1
144,0
145,0
146,0
147,0
148,1
149,1
150,0
151,0
152,0
153,0
